Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.12-52.6.13.28-42544-8080-6,192.168.10.12,42544,52.6.13.28,8080,6,7/7/2017 9:34,60202640,9,9,322,256.0,322,0,35.77777778,107.3333333,256,0,28.44444444,85.33333333,9.600907867,0.29899021,3541331.765,4901981.331,10200000.0,47.0,51200000.0,6396441.875,5268489.909,10200000.0,234.0,60200000.0,7518953.625,4645137.318,10300000.0,637.0,0,0,0,0,296,296,0.149495105,0.149495105,0,322,30.42105263,91.78375297,8424.25731,0,0,0,1,0,0,0,0,1,32.11111111,35.77777778,28.44444444,296,0,0,0,0,0,0,9,322,9,256,29200,110,1,32,63678.2,22252.53596,103175.0,50911.0,10200000.0,34941.27201,10200000.0,10100000.0,Bot
192.168.10.12-52.6.13.28-42544-8080-6,192.168.10.12,42544,52.6.13.28,8080,6,7/7/2017 9:35,57891,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,34.54768444,57891.0,0.0,57891.0,57891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,17.27384222,17.27384222,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,237,110,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.9-205.174.165.73-1841-8080-6,192.168.10.9,1841,205.174.165.73,8080,6,7/7/2017 10:04,134812,4,3,206,134.0,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,2522.03068,51.92416105,22468.66667,53230.91125,131123.0,123.0,134812.0,44937.33333,76126.81717,132841.0,949.0,132783.0,66391.5,91544.16521,131123.0,1660.0,0,0,0,0,92,72,29.67094917,22.25321188,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.9-205.174.165.73-1841-8080-6,205.174.165.73,8080,192.168.10.9,1841,6,7/7/2017 10:04,84,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,142857.1429,23809.52381,84.0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,11904.7619,11904.7619,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.9-205.174.165.73-1845-8080-6,192.168.10.9,1845,205.174.165.73,8080,6,7/7/2017 10:04,127781,4,3,206,134.0,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,2660.802467,54.78122726,21296.83333,50455.70005,124286.0,75.0,127781.0,42593.66667,72173.33699,125932.0,745.0,125987.0,62993.5,86680.68477,124286.0,1701.0,0,0,0,0,92,72,31.30355843,23.47766882,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.9-205.174.165.73-1845-8080-6,205.174.165.73,8080,192.168.10.9,1845,6,7/7/2017 10:04,33,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,363636.3636,60606.06061,33.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,30303.0303,30303.0303,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.9-205.174.165.73-1846-8080-6,192.168.10.9,1846,205.174.165.73,8080,6,7/7/2017 10:04,165810,5,4,212,140.0,194,0,42.4,84.78679142,128,0,35.0,62.0644826,2122.911766,54.27899403,20726.25,57769.37468,163697.0,43.0,165810.0,41452.5,82023.50566,164487.0,43.0,164470.0,54823.33333,94287.53776,163697.0,204.0,0,0,0,0,112,92,30.15499668,24.12399735,0,194,35.2,68.15798641,4645.511111,0,0,0,1,0,0,0,0,0,39.11111111,42.4,35.0,112,0,0,0,0,0,0,5,212,4,140,8192,237,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.9-205.174.165.73-1847-8080-6,192.168.10.9,1847,205.174.165.73,8080,6,7/7/2017 10:04,65033,4,3,1870,134.0,1858,0,467.5,927.004315,128,0,44.66666667,72.23111056,30815.12463,107.6376609,10838.83333,25181.30773,62233.0,55.0,65033.0,21677.66667,36790.82389,64158.0,76.0,63250.0,31625.0,43286.24872,62233.0,1017.0,0,0,0,0,92,72,61.50723479,46.13042609,0,1858,250.5,651.0051569,423807.7143,0,0,0,1,0,0,0,0,0,286.2857143,467.5,44.66666667,92,0,0,0,0,0,0,4,1870,3,134,8192,258,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.9-205.174.165.73-1846-8080-6,205.174.165.73,8080,192.168.10.9,1846,6,7/7/2017 10:04,42,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,285714.2857,47619.04762,42.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,23809.52381,23809.52381,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.9-205.174.165.73-1847-8080-6,205.174.165.73,8080,192.168.10.9,1847,6,7/7/2017 10:04,29,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,413793.1034,68965.51724,29.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,34482.75862,34482.75862,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,258,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
