Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.1-192.168.10.50-52358-22-6,172.16.0.1,52358,192.168.10.50,22,6,4/7/2017 3:11,404,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4950.49505,404.0,0.0,404.0,404.0,404.0,404.0,0.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,4950.49505,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,259,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1-192.168.10.50-52384-22-6,172.16.0.1,52384,192.168.10.50,22,6,4/7/2017 3:11,5808851,15,18,1496,2297.0,640,0,99.73333333,166.6851037,976,0,127.6111111,288.1713418,652.9690639,5.680985792,181526.5937,534015.4383,1978974.0,18.0,5808851.0,414917.9286,796605.2643,2032159.0,434.0,5707732.0,335748.9412,706064.5178,1978974.0,18.0,0,0,0,0,488,584,2.582266269,3.098719523,0,976,111.5588235,234.8360087,55147.95098,0,0,0,1,0,0,0,0,1,114.9393939,99.73333333,127.6111111,488,0,0,0,0,0,0,15,1496,18,2297,29200,257,10,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1-192.168.10.50-52382-22-6,172.16.0.1,52382,192.168.10.50,22,6,4/7/2017 3:11,5840763,18,19,1480,2297.0,640,0,82.22222222,155.7990997,976,0,120.8947368,281.5782691,646.6620885,6.334788794,162243.4167,504075.2867,1976459.0,37.0,5840763.0,343574.2941,733405.7283,2032024.0,615.0,5739761.0,318875.6111,686433.9535,1976459.0,37.0,0,0,0,0,584,616,3.081789143,3.252999651,0,976,99.39473684,224.4374998,50372.19132,0,0,0,1,0,0,0,0,1,102.0810811,82.22222222,120.8947368,584,0,0,0,0,0,0,18,1480,19,2297,29200,247,10,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1-192.168.10.50-52380-22-6,172.16.0.1,52380,192.168.10.50,22,6,4/7/2017 3:11,5797001,17,19,1480,2297.0,640,0,87.05882353,159.1950339,976,0,120.8947368,281.5782691,651.5437896,6.210107606,165628.6,511031.6261,1964335.0,17.0,5797001.0,362312.5625,748646.5763,2008036.0,247.0,5695942.0,316441.2222,687455.3386,1964335.0,17.0,0,0,0,0,552,616,2.932550814,3.277556792,0,976,102.0810811,226.9131477,51489.57658,0,0,0,1,0,0,0,0,1,104.9166667,87.05882353,120.8947368,552,0,0,0,0,0,0,17,1480,19,2297,29200,247,10,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1-192.168.10.50-52386-22-6,172.16.0.1,52386,192.168.10.50,22,6,4/7/2017 3:11,5776990,15,19,1480,2297.0,640,0,98.66666667,166.5424299,976,0,120.8947368,281.5782691,653.8006817,5.885417839,175060.303,523350.2299,1971363.0,55.0,5776990.0,412642.1429,789541.905,2016262.0,784.0,5675890.0,315327.2222,685287.4275,1971363.0,56.0,0,0,0,0,488,616,2.59650787,3.288909969,0,976,107.9142857,232.0999241,53870.37479,0,0,0,1,0,0,0,0,1,111.0882353,98.66666667,120.8947368,488,0,0,0,0,0,0,15,1480,19,2297,29200,247,10,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1-192.168.10.50-52364-22-6,172.16.0.1,52364,192.168.10.50,22,6,4/7/2017 3:11,20,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,100000.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,50000.0,50000.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1-192.168.10.50-52366-22-6,172.16.0.1,52366,192.168.10.50,22,6,4/7/2017 3:11,69,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28985.50725,69.0,0.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,14492.75362,14492.75362,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1-192.168.10.50-52378-22-6,172.16.0.1,52378,192.168.10.50,22,6,4/7/2017 3:11,6114814,17,19,1480,2297.0,640,0,87.05882353,159.1950339,976,0,120.8947368,281.5782691,617.6802761,5.88734179,174708.9714,541158.1943,2056251.0,17.0,6114814.0,382175.875,792052.7035,2115372.0,510.0,6013713.0,334095.1667,728145.41,2056251.0,64.0,0,0,0,0,552,616,2.780133623,3.107208167,0,976,102.0810811,226.9131477,51489.57658,0,0,0,1,0,0,0,0,1,104.9166667,87.05882353,120.8947368,552,0,0,0,0,0,0,17,1480,19,2297,29200,247,10,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1-192.168.10.50-52360-22-6,172.16.0.1,52360,192.168.10.50,22,6,4/7/2017 3:11,84,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23809.52381,84.0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,11904.7619,11904.7619,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
172.16.0.1-192.168.10.50-52362-22-6,172.16.0.1,52362,192.168.10.50,22,6,4/7/2017 3:11,58,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,34482.75862,58.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,17241.37931,17241.37931,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator
