Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.1-192.168.10.50-44380-80-6,172.16.0.1,44380.0,192.168.10.50,80.0,6.0,6/7/2017 9:15,5185118.0,7.0,7.0,1022.0,2321.0,372.0,0.0,146.0,184.0787875,1047.0,0.0,331.5714286,439.6592837,644.7297824,2.700034985,398855.2308,1372180.71,4963956.0,4.0,221162.0,36860.33333,56141.02125,141434.0,4.0,5185004.0,864167.3333,2027593.314,5001548.0,879.0,0.0,0.0,0.0,0.0,232.0,232.0,1.350017492,1.350017492,0.0,1047.0,222.8666667,331.3239387,109775.5524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,238.7857143,146.0,331.5714286,232.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1022.0,7.0,2321.0,29200.0,252.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  Brute Force
172.16.0.1-192.168.10.50-44382-80-6,172.16.0.1,44382.0,192.168.10.50,80.0,6.0,6/7/2017 9:15,5057374.0,10.0,7.0,736.0,9880.0,395.0,0.0,73.6,155.6835822,4344.0,0.0,1411.428571,1639.91543,2099.113097,3.361428283,316085.875,1239255.101,4963124.0,36.0,5057374.0,561930.4444,1650529.188,4963124.0,192.0,56185.0,9364.166667,10567.11844,21624.0,36.0,0.0,0.0,0.0,0.0,328.0,232.0,1.977310755,1.384117528,0.0,4344.0,589.7777778,1190.454068,1417180.889,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,624.4705882,73.6,1411.428571,328.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,736.0,7.0,9880.0,29200.0,243.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  Brute Force
172.16.0.1-192.168.10.50-44380-80-6,172.16.0.1,44380.0,192.168.10.50,80.0,6.0,6/7/2017 9:16,81.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24691.35802,81.0,0.0,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,12345.67901,12345.67901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,270.0,252.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  Brute Force
172.16.0.1-192.168.10.50-44384-80-6,172.16.0.1,44384.0,192.168.10.50,80.0,6.0,6/7/2017 9:16,5271123.0,7.0,5.0,969.0,1430.0,561.0,0.0,138.4285714,240.5021532,1066.0,0.0,286.0,463.646417,455.1212332,2.27655473,479193.0,1488840.005,4961916.0,46.0,5271123.0,878520.5,2003102.755,4961916.0,323.0,270207.0,67551.75,131604.8651,264957.0,1034.0,0.0,0.0,0.0,0.0,232.0,168.0,1.327990259,0.948564471,0.0,1066.0,184.5384615,330.0668153,108944.1026,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.9166667,138.4285714,286.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,969.0,5.0,1430.0,29200.0,244.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  Brute Force
172.16.0.1-192.168.10.50-44386-80-6,172.16.0.1,44386.0,192.168.10.50,80.0,6.0,6/7/2017 9:16,5020638.0,7.0,4.0,973.0,1430.0,565.0,0.0,139.0,241.6754021,1066.0,0.0,357.5,502.5359025,478.6244298,2.190956608,502063.8,1567338.192,4962654.0,18.0,5020638.0,836773.0,2021330.139,4962654.0,18.0,18708.0,6236.0,5195.494587,11318.0,934.0,0.0,0.0,0.0,0.0,232.0,136.0,1.394245114,0.796711494,0.0,1066.0,200.25,340.2325742,115758.2045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,218.4545455,139.0,357.5,232.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,973.0,4.0,1430.0,29200.0,244.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  Brute Force
172.16.0.1-192.168.10.50-44388-80-6,172.16.0.1,44388.0,192.168.10.50,80.0,6.0,6/7/2017 9:18,1629049.0,12.0,8.0,2145.0,10218.0,566.0,0.0,178.75,225.8890013,5330.0,0.0,1277.25,1966.095532,7589.090322,12.27710155,85739.42105,333916.5926,1463559.0,59.0,1629049.0,148095.3636,437028.5918,1463559.0,195.0,157606.0,22515.14286,18549.7935,52274.0,1610.0,0.0,0.0,0.0,0.0,392.0,264.0,7.366260929,4.910840619,0.0,5330.0,588.7142857,1299.540116,1688804.514,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,618.15,178.75,1277.25,392.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2145.0,8.0,10218.0,29200.0,262.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  Brute Force
172.16.0.1-192.168.10.50-44390-80-6,172.16.0.1,44390.0,192.168.10.50,80.0,6.0,6/7/2017 9:18,5088371.0,4.0,4.0,358.0,763.0,358.0,0.0,89.5,179.0,763.0,0.0,190.75,381.5,220.306263,1.572212404,726910.1429,1885618.448,5002505.0,4.0,85866.0,28622.0,48725.89401,84883.0,4.0,5088295.0,1696098.333,2864350.285,5003217.0,980.0,0.0,0.0,0.0,0.0,136.0,136.0,0.786106202,0.786106202,0.0,763.0,124.5555556,267.0922645,71338.27778,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,140.125,89.5,190.75,136.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,358.0,4.0,763.0,29200.0,235.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  Brute Force
172.16.0.1-192.168.10.50-44392-80-6,172.16.0.1,44392.0,192.168.10.50,80.0,6.0,6/7/2017 9:18,21405204.0,28.0,19.0,5927.0,19891.0,561.0,0.0,211.6785714,219.408473,2896.0,0.0,1046.894737,961.5663665,1206.155288,2.195727731,465330.5217,1188382.211,4962947.0,40.0,21400000.0,792785.3333,1474704.318,4962947.0,705.0,16400000.0,911302.8889,1427512.635,4475937.0,61.0,0.0,0.0,0.0,0.0,904.0,616.0,1.308093116,0.887634614,0.0,2896.0,537.875,745.6869637,556049.0479,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,549.3191489,211.6785714,1046.894737,904.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5927.0,19.0,19891.0,29200.0,348.0,14.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  Brute Force
172.16.0.1-192.168.10.50-44390-80-6,172.16.0.1,44390.0,192.168.10.50,80.0,6.0,6/7/2017 9:18,66.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30303.0303,66.0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,15151.51515,15151.51515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,241.0,235.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  Brute Force
172.16.0.1-192.168.10.50-44466-80-6,172.16.0.1,44466.0,192.168.10.50,80.0,6.0,6/7/2017 9:19,4050296.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987582142,1350098.667,2337892.169,4049664.0,91.0,4050296.0,2025148.0,2863097.984,4049664.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.740686607,0.246895536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  Brute Force
