Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.1-192.168.10.50-52120-80-6,172.16.0.1,52120.0,192.168.10.50,80.0,6.0,6/7/2017 10:15,5638432.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.709417086,1879477.333,3254752.687,5637742.0,72.0,5638432.0,2819216.0,3985997.695,5637742.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.532062815,0.177354272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  XSS
172.16.0.1-192.168.10.50-52118-80-6,172.16.0.1,52118.0,192.168.10.50,80.0,6.0,6/7/2017 10:15,5638527.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.709405134,1879509.0,3254757.302,5637779.0,146.0,5638527.0,2819263.5,3985982.846,5637779.0,748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.53205385,0.177351283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  XSS
172.16.0.1-192.168.10.50-52100-80-6,172.16.0.1,52100.0,192.168.10.50,80.0,6.0,6/7/2017 10:15,5945704.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672754648,1981901.333,3432192.632,5945056.0,48.0,5945704.0,2972852.0,4203331.207,5945056.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.504565986,0.168188662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  XSS
172.16.0.1-192.168.10.50-52098-80-6,172.16.0.1,52098.0,192.168.10.50,80.0,6.0,6/7/2017 10:15,6075117.0,16.0,12.0,2615.0,13133.0,559.0,0.0,163.4375,199.0490622,7240.0,0.0,1094.416667,1985.141601,2592.21345,4.608964733,225004.3333,968644.3136,5004329.0,4.0,1070788.0,71385.86667,214272.2428,841350.0,4.0,6075016.0,552274.1818,1497550.392,5005140.0,69.0,0.0,0.0,0.0,0.0,520.0,392.0,2.633694133,1.9752706,0.0,7240.0,543.0344828,1338.86443,1792557.963,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,562.4285714,163.4375,1094.416667,520.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2615.0,12.0,13133.0,29200.0,286.0,7.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  XSS
172.16.0.1-192.168.10.50-52098-80-6,172.16.0.1,52098.0,192.168.10.50,80.0,6.0,6/7/2017 10:15,34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58823.52941,34.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,29411.76471,29411.76471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,492.0,286.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  XSS
172.16.0.1-192.168.10.50-52202-80-6,172.16.0.1,52202.0,192.168.10.50,80.0,6.0,6/7/2017 10:15,3958444.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010498064,1319481.333,2284898.632,3957855.0,65.0,3958444.0,1979222.0,2798209.624,3957855.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.757873548,0.252624516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  XSS
172.16.0.1-192.168.10.50-52200-80-6,172.16.0.1,52200.0,192.168.10.50,80.0,6.0,6/7/2017 10:15,4020679.0,20.0,11.0,2972.0,13653.0,559.0,0.0,148.6,192.9694276,7926.0,0.0,1241.181818,2257.835991,4134.873737,7.710140501,134022.6333,527321.7447,2804194.0,4.0,4020679.0,211614.6842,656258.705,2804194.0,4.0,1215595.0,121559.5,259197.1868,846614.0,156.0,0.0,0.0,0.0,0.0,648.0,360.0,4.974284194,2.735856307,0.0,7926.0,519.53125,1396.262615,1949549.289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,536.2903226,148.6,1241.181818,648.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2972.0,11.0,13653.0,29200.0,294.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  XSS
172.16.0.1-192.168.10.50-52222-80-6,172.16.0.1,52222.0,192.168.10.50,80.0,6.0,6/7/2017 10:15,3607565.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.108781131,1202521.667,2082250.127,3606897.0,146.0,3607565.0,1803782.5,2549988.98,3606897.0,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.831585848,0.277195283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  XSS
172.16.0.1-192.168.10.50-52220-80-6,172.16.0.1,52220.0,192.168.10.50,80.0,6.0,6/7/2017 10:15,3607613.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.108766378,1202537.667,2082261.387,3606926.0,140.0,3607613.0,1803806.5,2549996.051,3606926.0,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.831574784,0.277191595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  XSS
172.16.0.1-192.168.10.50-52320-80-6,172.16.0.1,52320.0,192.168.10.50,80.0,6.0,6/7/2017 10:16,5607142.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.713375905,1869047.333,3236631.968,5606388.0,155.0,5607142.0,2803571.0,3963781.814,5606388.0,754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,40.0,0.535031929,0.178343976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,29200.0,28960.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack  XSS
