=== Próba 1/24 ===
Parametry: {'batch_size': 512, 'batchnorm': True, 'dropout': 0.0, 'lr': 0.001}
[1/50] Train Loss: 0.227827
[2/50] Train Loss: 0.115550
[3/50] Train Loss: 0.094123
[4/50] Train Loss: 0.078447
[5/50] Train Loss: 0.066862
[6/50] Train Loss: 0.068610
[7/50] Train Loss: 0.058642
[8/50] Train Loss: 0.062094
[9/50] Train Loss: 0.056771
[10/50] Train Loss: 0.058556
[11/50] Train Loss: 0.047724
[12/50] Train Loss: 0.051787
[13/50] Train Loss: 0.048771
[14/50] Train Loss: 0.048175
[15/50] Train Loss: 0.044787
[16/50] Train Loss: 0.043141
[17/50] Train Loss: 0.045069
[18/50] Train Loss: 0.041217
[19/50] Train Loss: 0.042722
[20/50] Train Loss: 0.041085
[21/50] Train Loss: 0.040949
[22/50] Train Loss: 0.043629
[23/50] Train Loss: 0.039548
[24/50] Train Loss: 0.041313
[25/50] Train Loss: 0.036740
[26/50] Train Loss: 0.037138
[27/50] Train Loss: 0.039459
[28/50] Train Loss: 0.035659
[29/50] Train Loss: 0.035541
[30/50] Train Loss: 0.037730
[31/50] Train Loss: 0.037871
[32/50] Train Loss: 0.035071
[33/50] Train Loss: 0.036186
[34/50] Train Loss: 0.037769
[35/50] Train Loss: 0.032230
[36/50] Train Loss: 0.035240
[37/50] Train Loss: 0.036939
[38/50] Train Loss: 0.032734
[39/50] Train Loss: 0.032654
[40/50] Train Loss: 0.034763
[41/50] Train Loss: 0.035958
[42/50] Train Loss: 0.035362
[43/50] Train Loss: 0.032290
[44/50] Train Loss: 0.033407
[45/50] Train Loss: 0.031392
[46/50] Train Loss: 0.032244
[47/50] Train Loss: 0.028730
[48/50] Train Loss: 0.030622
[49/50] Train Loss: 0.024461
[50/50] Train Loss: 0.023622
Nowy najlepszy model zapisany jako: best_model_trial_01_drop0.0_bs512_lr0.001_bnTrue.pt

=== Próba 2/24 ===
Parametry: {'batch_size': 512, 'batchnorm': True, 'dropout': 0.0, 'lr': 0.0005}
[1/50] Train Loss: 0.267137
[2/50] Train Loss: 0.126740
[3/50] Train Loss: 0.105650
[4/50] Train Loss: 0.093749
[5/50] Train Loss: 0.087295
[6/50] Train Loss: 0.080034
[7/50] Train Loss: 0.071210
[8/50] Train Loss: 0.064433
[9/50] Train Loss: 0.056377
[10/50] Train Loss: 0.055442
[11/50] Train Loss: 0.051602
[12/50] Train Loss: 0.049378
[13/50] Train Loss: 0.051796
[14/50] Train Loss: 0.045760
[15/50] Train Loss: 0.045792
[16/50] Train Loss: 0.041507
[17/50] Train Loss: 0.044269
[18/50] Train Loss: 0.042489
[19/50] Train Loss: 0.044264
[20/50] Train Loss: 0.041270
[21/50] Train Loss: 0.042853
[22/50] Train Loss: 0.040850
[23/50] Train Loss: 0.040292
[24/50] Train Loss: 0.042201
[25/50] Train Loss: 0.037196
[26/50] Train Loss: 0.037991
[27/50] Train Loss: 0.037413
[28/50] Train Loss: 0.038504
[29/50] Train Loss: 0.037664
[30/50] Train Loss: 0.037534
[31/50] Train Loss: 0.036953
[32/50] Train Loss: 0.037450
[33/50] Train Loss: 0.037040
[34/50] Train Loss: 0.035135
[35/50] Train Loss: 0.036763
[36/50] Train Loss: 0.036876
[37/50] Train Loss: 0.034729
[38/50] Train Loss: 0.034271
[39/50] Train Loss: 0.035323
[40/50] Train Loss: 0.034758
[41/50] Train Loss: 0.033771
[42/50] Train Loss: 0.034180
[43/50] Train Loss: 0.031940
[44/50] Train Loss: 0.033053
[45/50] Train Loss: 0.031877
[46/50] Train Loss: 0.033223
[47/50] Train Loss: 0.031855
